program,region,criteria,criteria2,min,max,text
FSC,,Clearcut limit,,2,80,
SFI,,Clearcut limit,,,,No limit
FSC,,Max avgerage clearcut,,2,40,
SFI,,Max avgerage clearcut,,120,120,
FSC,,Max with 20% retention,,20,80,
SFI,,Max with 20% retention,,,,No limit
FSC,,Max avgerage with 20% retention,,20,100,
SFI,,Max avgerage with 20% retention,,120,120,
FSC,,Adjecent stand minimum age,,,,">10 feet tall, 50% canopy, or advanced succession"
SFI,,Adjecent stand minimum age,,,,>5 feet tall and 3 years old
FSC,,Overall focus,,,,"Reflect ""natural disturbance"" and ""maintains habitat"""
SFI,,Overall focus,,,,"""manage the visual impacts of forest operations"""
